url,Total Score,status,error
https://learns.academy/academies/459d78fe-1e44-49ec-b653-30f0c9f8eb62,72.5,success,
https://myteatime.kr/career,67.5,success,
https://easyedu.net/,55.0,success,
https://academy.hakwonsin.co.kr/academy/RdG9DL3a/%EC%A0%84%EC%84%9C%ED%98%84%ED%86%A0%EC%9D%B5%ED%95%99%EC%9B%90,62.5,success,
https://www.easyedu.net/,55.0,success,
https://academy.prompie.com/academies/detail/dg64shc/%EC%A0%84%ED%9A%A8%EC%9B%90%ED%86%A0%EC%9D%B5%EC%96%B4%ED%95%99%EC%9B%90,70.0,success,
https://sisasuwon.com/index.php,50.0,success,
https://www.jhwtoeic.com/location,70.5,success,
https://aju-easy.com/,66.0,success,
https://class.ziphome.kr/2025/02/12/%EA%B2%BD%EA%B8%B0-%ED%99%94%EC%84%B1%EC%8B%9C-%ED%86%A0%EC%9D%B5%ED%95%99%EC%9B%90-%EC%86%8C%EA%B0%9C-%ED%86%A0%EC%9D%B5%EA%B0%80%EA%B2%A9/amp,79.5,success,
https://sisasuwon.com/bbs/board.php,55.0,success,
https://www.placeview.co.kr/id/MTYyNjc0NTAyNiAg,55.0,success,
https://chochoschool.com/,55.0,success,
https://dailycomein.com/%EA%B2%BD%EA%B8%B0%EB%8F%84-%EC%88%98%EC%9B%90%EC%8B%9C-%EC%98%81%EC%96%B4%ED%95%99%EC%9B%90-%EC%B6%94%EC%B2%9C-best-5-%EC%9C%84%EC%B9%98-%EC%88%98%EA%B0%95%EB%A3%8C-%ED%9B%84%EA%B8%B0-%EC%B4%9D,,error,HTTP Error 502: Bad Gateway
https://learns.academy/academies/1fd8dc7d-cc66-4efb-883d-ec4c36fa800c,67.0,success,
https://myview676.tistory.com/2639,55.0,success,
https://play.infokakao.com/936,72.0,success,
https://www.hackerslive.co.kr/lecture/473309,81.0,success,
https://www.songpa-easy.co.kr/,71.5,success,
https://www.ybm.co.kr/ybm_hub/toeic-s.asp,71.5,success,
https://www.ybmedu.co.kr/,55.0,success,
